id,title,genero,popularity
862,Toy Story,  Animation   Comedy   Family  ,21.95
8844,Jumanji,  Adventure   Fantasy   Family  ,17.02
15602,Grumpier Old Men,  Romance   Comedy  ,11.71
31357,Waiting to Exhale,  Comedy   Drama   Romance  ,3.86
11862,Father of the Bride Part II,  Comedy  ,8.39
949,Heat,  Action   Crime   Drama   Thriller  ,17.92
11860,Sabrina,  Comedy   Romance  ,6.68
45325,Tom and Huck,  Action   Adventure   Drama   Family  ,2.56
9091,Sudden Death,  Action   Adventure   Thriller  ,5.23
710,GoldenEye,  Adventure   Action   Thriller  ,14.69
9087,The American President,  Comedy   Drama   Romance  ,6.32
12110,Dracula: Dead and Loving It,  Comedy   Horror  ,5.43
21032,Balto,  Family   Animation   Adventure  ,12.14
10858,Nixon,  History   Drama  ,5.09
1408,Cutthroat Island,  Action   Adventure  ,7.28
524,Casino,  Drama   Crime  ,10.14
4584,Sense and Sensibility,  Drama   Romance  ,10.67
5,Four Rooms,  Crime   Comedy  ,9.03
9273,Ace Ventura: When Nature Calls,  Crime   Comedy   Adventure  ,8.21
11517,Money Train,  Action   Comedy   Crime  ,7.34
8012,Get Shorty,  Comedy   Thriller   Crime  ,12.67
1710,Copycat,  Drama   Thriller  ,10.7
9691,Assassins,  Action   Adventure   Crime   Thriller  ,11.07
12665,Powder,  Drama   Fantasy   Science Fiction   Thriller  ,12.13
451,Leaving Las Vegas,  Drama   Romance  ,10.33
16420,Othello,  Drama  ,1.85
9263,Now and Then,  Comedy   Drama   Family  ,8.68
17015,Persuasion,  Drama   Romance  ,2.23
902,The City of Lost Children,  Fantasy   Science Fiction   Adventure  ,9.82
37557,Shanghai Triad,  Drama   Crime  ,1.1
9909,Dangerous Minds,  Drama   Crime  ,9.48
63,Twelve Monkeys,  Science Fiction   Thriller   Mystery  ,12.3
78802,Wings of Courage,  Romance   Adventure  ,0.75
9598,Babe,  Fantasy   Drama   Comedy   Family  ,14.4
47018,Carrington,  History   Drama   Romance  ,1.49
687,Dead Man Walking,  Drama  ,6.89
139405,Across the Sea of Time,  Adventure   History   Drama   Family  ,0.11
33689,It Takes Two,  Comedy   Family   Romance  ,7.78
9603,Clueless,  Comedy   Drama   Romance  ,9.88
34615,"Cry, the Beloved Country",  Drama  ,0.89
31174,Richard III,  Drama   War  ,4.56
11443,Dead Presidents,  Action   Crime   Drama   History  ,9.88
35196,Restoration,  Drama   Romance  ,10.98
9312,Mortal Kombat,  Action   Fantasy  ,10.87
577,To Die For,  Fantasy   Drama   Comedy   Thriller  ,10.45
11861,How To Make An American Quilt,  Drama   Romance  ,4.49
807,Se7en,  Crime   Mystery   Thriller  ,18.46
10530,Pocahontas,  Adventure   Animation   Drama   Family  ,13.28
8391,When Night Is Falling,  Drama   Romance  ,3.3
629,The Usual Suspects,  Drama   Crime   Thriller  ,16.3
117164,Guardian Angel,  Action   Thriller   Drama  ,0.6
11448,Mighty Aphrodite,  Comedy   Romance  ,15.9
49133,Lamerica,  Drama   Foreign  ,1.36
26441,The Big Green,  Action   Adventure   Comedy   Family  ,5.98
97406,Georgia,  Drama  ,4.09
124057,Kids of the Round Table,,0.31
9089,Home for the Holidays,  Comedy   Drama   Romance  ,8.42
